CRN,Subj,Crse,Sect,Part of Term,Session,Title,Prof,Day  Beg   End   Bldg Room  (Type),Campus,AddlInfo,Hrs,Max,MaxResv,LeftResv,Enr,ARRAY(0x1a293e8),Room Cap
42788,ACC,3405,1,Full Term ... `01-SEP to 20-DEC,Online,FOUNDATIONS OF ACCTG ONLINE. AFTER REGISTRATION  VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Welsh  Carol,   ,Online,,3,30,0,0,28,2,
42828,ACC,3410,1,Full Term ... `01-SEP to 20-DEC,Evening,AUDITING,Honer  Joseph S,T       1830 1945 SCIENC 338 (Class)`T       1900 2100 SCIENC 338 (Exam)`T       2000 2115 SCIENC 338 (Class),Main,,3,30,0,0,30,0,35
42829,ACC,3410,2,Full Term ... `01-SEP to 20-DEC,Day,AUDITING,Uberti  Robert Fredrick,TR      0930 1045 BUNCE 105 (Class)`R       1015 1215 BUNCE 105 (Exam),Main,,3,30,0,0,30,0,30
42830,ACC,3410,3,Full Term ... `01-SEP to 20-DEC,Day,AUDITING,Uberti  Robert Fredrick,F       0800 0915 BOZ 130 (Class)`F       0800 1000 BOZ 130 (Exam)`F       0930 1045 BOZ 130 (Class),Main,,3,30,0,0,26,4,38
42831,ACC,3416,1,Full Term ... `01-SEP to 20-DEC,Day,ADV ACCOUNTING,Welsh  Carol,MW      1230 1345 BUNCE 109 (Class)`W       1230 1430 BUNCE 109 (Exam),Main,,3,30,0,0,30,0,30
42832,ACC,3416,2,Full Term ... `01-SEP to 20-DEC,Day,ADV ACCOUNTING,Kyj  Larissa,MW      1400 1515 BUNCE 105 (Class)`W       1445 1645 BUNCE 105 (Exam),Main,,3,30,0,0,29,1,30
42833,ACC,3416,3,Full Term ... `01-SEP to 20-DEC,Day,ADV ACCOUNTING,Kyj  Larissa,MW      1530 1645 BUNCE 109 (Class)`M       1445 1645 BUNCE 109 (Exam),Main,,3,30,0,0,19,11,30
42834,ACC,3416,4,Full Term ... `01-SEP to 20-DEC,Evening,ADV ACCOUNTING,Kyj  Larissa,W       1830 1945 BUNCE 109 (Class)`W       1900 2100 BUNCE 109 (Exam)`W       2000 2115 BUNCE 109 (Class),Main,,3,30,0,0,28,2,30
42835,ACC,3416,5,Full Term ... `01-SEP to 20-DEC,Day,ADV ACCOUNTING,Welsh  Carol,MW      1400 1515 BUNCE 109 (Class)`W       1445 1645 BUNCE 109 (Exam),Main,,3,30,0,0,30,0,30
42836,ACC,3432,1,Full Term ... `01-SEP to 20-DEC,Day,FEDERAL TAXATION,Marmon  Richard,TR      1230 1345 WESTBY 216 (Class)`R       1230 1430 WESTBY 216 (Exam),Main,,3,30,0,0,26,4,36
42837,ACC,3432,2,Full Term ... `01-SEP to 20-DEC,Day,FEDERAL TAXATION,Marmon  Richard,TR      1400 1515 WESTBY 216 (Class)`R       1445 1645 WESTBY 216 (Exam),Main,,3,30,0,0,26,4,36
42838,ACC,3432,3,Full Term ... `01-SEP to 20-DEC,Day,FEDERAL TAXATION,Fabrico-Basile  Tracey,TR      1530 1645 BUNCE 109 (Class)`T       1445 1645 BUNCE 109 (Exam),Main,,3,30,0,0,30,0,30
42839,ACC,3432,4,Full Term ... `01-SEP to 20-DEC,Evening,FEDERAL TAXATION,Fabrico-Basile  Tracey,R       1830 1945 BUNCE 350 (Class)`R       1900 2100 BUNCE 350 (Exam)`R       2000 2115 BUNCE 350 (Class),Main,,3,24,0,0,16,8,24
41908,ACC,3500,1,Full Term ... `01-SEP to 20-DEC,Evening,MANAGERIAL ACCOUNTING,Zhang  Mei,R       1830 1945 ENTPRZ 514 (Class)`R       1900 2100 ENTPRZ 514 (Exam)`R       2000 2115 ENTPRZ 514 (Class),Main,,3,24,0,0,23,1,40
43827,ACC,3511,1,Full Term ... `01-SEP to 20-DEC,Evening,INTRO TO  FEDERAL TAXATION,Marmon  Richard,M       1830 1945 ENTPRZ 514 (Class)`M       1900 2100 ENTPRZ 514 (Exam)`M       2000 2115 ENTPRZ 514 (Class),Main,,3,24,0,0,10,14,40
42840,ACC,98300,1,Full Term ... `01-SEP to 20-DEC,Evening,LAW FOR ACCOUNTANTS,STAFF,,Main,,3,0,0,0,0,0,
42787,ACC,98300,2,Full Term ... `01-SEP to 20-DEC,Online,LAW FOR ACCOUNTANTS ONLINE. AFTER REGISTRATION  VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Hughes  Diane,   ,Online,,3,30,0,0,32,-2,
42220,ADV,4330,1,Full Term ... `01-SEP to 20-DEC,Day,INTRO ADVERTISING,Buckley  Maria A.,T       1400 1515 BOZ 112 (Class)`R       1400 1515 301HGH 205 (Class)`R       1445 1645 301HGH 205 (Exam),Main,,3,29,0,0,29,0,29
42221,ADV,4330,2,Full Term ... `01-SEP to 20-DEC,Day,INTRO ADVERTISING,Pattwell  Ashley Blake,T       1400 1515 BOZ 112 (Class)`R       1400 1515 BOZ 114 (Class)`R       1445 1645 BOZ 114 (Exam),Main,,3,30,0,0,29,1,38
42222,ADV,4330,3,Full Term ... `01-SEP to 20-DEC,Day,INTRO ADVERTISING,Johnson  Kristine C,T       1400 1515 BOZ 112 (Class)`R       1230 1345 BOZ 114 (Class)`R       1230 1430 BOZ 114 (Exam),Main,,3,30,0,0,24,6,38
42213,ADV,4330,4,Full Term ... `01-SEP to 20-DEC,Online,INTRO ADVERTISING This section is for non-majors ONLY. ONLINE. AFTER REGISTRATION  VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Ziegler  Edward,   ,Online,,3,30,0,0,30,0,
44732,ADV,4330,5,Full Term ... `01-SEP to 20-DEC,Day,INTRO ADVERTISING,Riggs  Claire F.,T       1400 1515 BOZ 112 (Class)`R       1400 1515 BOZ 131 (Class)`R       1445 1645 BOZ 131 (Exam),Main,,3,30,0,0,29,1,38
42219,ADV,4352,1,Full Term ... `01-SEP to 20-DEC,Evening,ADVERTISING STRATEGIES,Audio  Regina M,M       1700 1815 WESTBY 111 (Class)`M       1700 1900 WESTBY 111 (Exam)`M       1830 1945 WESTBY 111 (Class),Main,,3,20,0,0,22,-2,110
42224,ADV,4352,2,Full Term ... `01-SEP to 20-DEC,Evening,ADVERTISING STRATEGIES,Rodolico  Louis Francis,M       1700 1815 BOZ 114 (Class)`M       1700 1900 BOZ 114 (Exam)`M       1830 1945 BOZ 114 (Class),Main,,3,20,0,0,23,-3,38
42225,ADV,4352,3,Full Term ... `01-SEP to 20-DEC,Evening,ADVERTISING STRATEGIES,Pattwell  Ashley Blake,M       1700 1815 WESTBY 111 (Class)`M       1700 1900 WESTBY 111 (Exam)`M       1830 1945 WESTBY 111 (Class),Main,,3,20,0,0,18,2,110
42231,ADV,4355,1,Full Term ... `01-SEP to 20-DEC,Day,ADVERTISING PRACTICUM,Pattwell  Ashley Blake,W       1230 1345 301HGH 216 (Class)`W       1230 1430 301HGH 216 (Exam),Main,,3,15,0,0,18,-3,19
42232,ADV,4360,1,Full Term ... `01-SEP to 20-DEC,Evening,INTEGRATED MARKETING COMM,Eschbach  Peter Alan,W       1830 1945 301HGH 216 (Class)`W       1900 2100 301HGH 216 (Exam)`W       2000 2115 301HGH 216 (Class),Main,,3,19,0,0,19,0,19
42233,ADV,4360,2,Full Term ... `01-SEP to 20-DEC,Day,INTEGRATED MARKETING COMM,Nia-Schoenstein  Asadeh,TR      0930 1045 301HGH 305 (Class)`R       1015 1215 301HGH 305 (Exam),Main,,3,25,0,0,26,-1,29
42234,ADV,4360,3,Full Term ... `01-SEP to 20-DEC,Evening,INTEGRATED MARKETING COMM,Johnson  Kristine C,MW      1700 1815 301HGH 305 (Class)`W       1700 1900 301HGH 305 (Exam),Main,,3,25,0,0,24,1,29
44733,ADV,4360,4,Full Term ... `01-SEP to 20-DEC,Day,INTEGRATED MARKETING COMM,STAFF,,Main,,3,0,0,0,0,0,
42235,ADV,4375,1,Full Term ... `01-SEP to 20-DEC,Day,ADVERTISING COPYWRITING,Buckley  Maria A.,TR      1100 1215 301HGH 305 (Class)`T       1015 1215 301HGH 305 (Exam),Main,,3,20,0,0,21,-1,29
42236,ADV,4375,2,Full Term ... `01-SEP to 20-DEC,Evening,ADVERTISING COPYWRITING,Cheatham  David William,R       1830 1945 301HGH 305 (Class)`R       1900 2100 301HGH 305 (Exam)`R       2000 2115 301HGH 305 (Class),Main,,3,20,0,0,13,7,29
42237,ADV,4375,3,Full Term ... `01-SEP to 20-DEC,Day,ADVERTISING COPYWRITING,Johnson  Kristine C,MW      0930 1045 301HGH 305 (Class)`W       1015 1215 301HGH 305 (Exam),Main,,3,20,0,0,19,1,29
42238,ADV,4375,4,Full Term ... `01-SEP to 20-DEC,Day,ADVERTISING COPYWRITING,Hicks  Sherry C,MW      1530 1645 BOZ 114 (Class)`M       1445 1645 BOZ 114 (Exam),Main,,3,20,0,0,20,0,38
44739,ADV,4375,5,Full Term ... `01-SEP to 20-DEC,Day,ADVERTISING COPYWRITING,Hicks  Sherry C,TR      1230 1345 BUNCE 104 (Class)`R       1230 1430 BUNCE 104 (Exam),Main,,3,20,0,0,20,0,24
42239,ADV,4420,1,Full Term ... `01-SEP to 20-DEC,Day,PORTFOLIO PREPARATION,Rodolico  Louis Francis,TR      1530 1645 301HGH 305 (Class)`T       1445 1645 301HGH 305 (Exam),Main,,3,24,0,0,27,-3,29
42240,ADV,4421,1,Full Term ... `01-SEP to 20-DEC,Day,ACCOUNT PLANNING,Audio  Regina M,MW      1230 1345 301HGH 305 (Class)`W       1230 1430 301HGH 305 (Exam),Main,,3,24,0,0,28,-4,29
42241,ADV,4421,2,Full Term ... `01-SEP to 20-DEC,Day,ACCOUNT PLANNING,Hicks  Sherry C,TR      0930 1045 301HGH 216 (Class)`R       1015 1215 301HGH 216 (Exam),Main,,3,19,0,0,18,1,19
42242,ADV,4432,1,Full Term ... `01-SEP to 20-DEC,Day,MEDIA PLANNING,Audio  Regina M,TR      1100 1215 BOZ 114 (Class)`T       1015 1215 BOZ 114 (Exam),Main,,3,24,0,0,26,-2,38
42243,ADV,4432,2,Full Term ... `01-SEP to 20-DEC,Day,MEDIA PLANNING,Vilceanu  Marilena Olguta,TR      0800 0915 301HGH 305 (Class)`R       0800 1000 301HGH 305 (Exam),Main,,3,24,0,0,20,4,29
42244,ADV,4434,1,Full Term ... `01-SEP to 20-DEC,Day,ADVERTISING CAMPAIGNS-WI,Rodolico  Louis Francis,T       1015 1215 301HGH 216 (Exam)`T       1100 1215 301HGH 216 (Class)`T       1230 1345 301HGH 216 (Class),Main,,3,20,0,0,9,11,19
43219,AFST,11104,1,Full Term ... `01-SEP to 20-DEC,Day,INTRO TO AFRICANA STUDIES,Holder  Kit,TR      1100 1215 JAMES 2104 (Class)`T       1015 1215 JAMES 2104 (Exam),Main,,3,24,0,0,26,-2,30
43220,AFST,11104,2,Full Term ... `01-SEP to 20-DEC,Day,INTRO TO AFRICANA STUDIES,Mills  John T.,MW      1230 1345 ROBSON 102 (Class)`W       1230 1430 ROBSON 102 (Exam),Main,,3,24,0,0,25,-1,35
43221,AFST,11104,3,Full Term ... `01-SEP to 20-DEC,Evening,INTRO TO AFRICANA STUDIES,Ames  Lola C,T       1700 1815 BUNCE 350 (Class)`T       1700 1900 BUNCE 350 (Exam)`T       1830 1945 BUNCE 350 (Class),Main,,3,24,1,0,23,1,24
43222,AFST,11310,1,Full Term ... `01-SEP to 20-DEC,Day,SRVC LRNG SEM IN AFRICANA STD,Jordan  Temple,W       1400 1515 ROBSON 204 (Class)`W       1445 1645 ROBSON 204 (Exam)`W       1530 1645 ROBSON 204 (Class),Main,,3,20,0,0,9,11,24
41873,AHI,5501, 1C,CGCE First Session ... `30-AUG to 05-DEC,Online,INTEGRTD INFO TECH HEALTH CARE ONLINE. AFTER REGISTRATION  VISIT ROWANONLINE.COM/PORTAL TO GET STARTED. REGISTRATION QUESTIONS? CONTACT NURSING@ROWAN.EDU. FOR MSN PROGRAM STUDENTS.`,Mobley  Aleesa M,   ,Online,Materials `Required,3,30,0,0,14,16,
45037,AHI,5501, 2C,CGCE First Session ... `30-AUG to 05-DEC,Online,INTEGRTD INFO TECH HEALTH CARE ONLINE. AFTER REGISTRATION  VISIT ROWANONLINE.COM/PORTAL TO GET STARTED. REGISTRATION QUESTIONS? CONTACT NURSING@ROWAN.EDU. FOR MSN PROGRAM STUDENTS.`,Johnson  Ruthann,   ,Online,Materials `Required,3,30,0,0,14,16,
45026,AMST,13101,1,Full Term ... `01-SEP to 20-DEC,Day,INTRO TO AMERICAN STUDIES,Gennari  Elizabeth V,T       1400 1515 ROBSON 204 (Class)`T       1445 1645 ROBSON 204 (Exam)`T       1530 1645 ROBSON 204 (Class),Main,,3,24,0,0,24,0,24
45027,AMST,13101,2,Full Term ... `01-SEP to 20-DEC,Evening,INTRO TO AMERICAN STUDIES,Gennari  Elizabeth V,W       1700 1815 WILSON 108 (Class)`W       1700 1900 WILSON 108 (Exam)`W       1830 1945 WILSON 108 (Class),Main,,3,35,0,0,35,0,35
45028,AMST,13101,3,Full Term ... `01-SEP to 20-DEC,Day,INTRO TO AMERICAN STUDIES,Leach  Kirk,MW      0930 1045 WINANS 113 (Class)`W       1015 1215 WINANS 113 (Exam),Main,,3,35,0,0,36,-1,36
45029,AMST,13101,4,Full Term ... `01-SEP to 20-DEC,Evening,INTRO TO AMERICAN STUDIES,Dashefsky  Brian F,R       1830 1945 WILSON 203 (Class)`R       1900 2100 WILSON 203 (Exam)`R       2000 2115 WILSON 203 (Class),Main,,3,24,0,0,23,1,24
43223,AMST,13201,1,Full Term ... `01-SEP to 20-DEC,Day,INTRO TO AMERICAN STUDIES,STAFF,,Main,,3,0,0,0,0,0,
43224,AMST,13201,2,Full Term ... `01-SEP to 20-DEC,Evening,INTRO TO AMERICAN STUDIES,STAFF,,Main,,3,0,0,0,0,0,
43225,AMST,13201,3,Full Term ... `01-SEP to 20-DEC,Day,INTRO TO AMERICAN STUDIES,STAFF,,Main,,3,0,0,0,0,0,
44965,AMST,13201,4,Full Term ... `01-SEP to 20-DEC,Evening,INTRO TO AMERICAN STUDIES,STAFF,,Main,,3,0,0,0,0,0,
43226,AMST,13402,1,Full Term ... `01-SEP to 20-DEC,Day,SENIOR SEM AMER ST-WI,Blanck  Emily Vanessa,F       0930 1045 ROBSON 204 (Class)`F       1015 1215 ROBSON 204 (Exam)`F       1100 1215 ROBSON 204 (Class),Main,,3,15,0,0,11,4,24
43227,AMST,13402,2,Full Term ... `01-SEP to 20-DEC,Day,SENIOR SEM AMER ST-WI,Ashton  Dianne,W       1530 1645 BUNCE 106 (Class)`W       1700 1815 BUNCE 106 (Class)`W       1700 1900 BUNCE 106 (Exam),Main,,3,15,0,0,14,1,36
43228,AMST,13402,3,Full Term ... `01-SEP to 20-DEC,Evening,SENIOR SEM AMER ST-WI,Harris  Skylar M,M       1830 1945 ROBSON 204 (Class)`M       1900 2100 ROBSON 204 (Exam)`M       2000 2115 ROBSON 204 (Class),Main,,3,15,0,0,15,0,24
43229,ANTH,2202,1,Full Term ... `01-SEP to 20-DEC,Day,CULTURAL ANTHROPOLOGY,Kasserman  David,MW      0800 0915 LBRARY 578 (Class)`W       0800 1000 LBRARY 578 (Exam),Main,,3,32,1,-2,31,1,32
43231,ANTH,2202,2,Full Term ... `01-SEP to 20-DEC,Day,CULTURAL ANTHROPOLOGY,Kasserman  David,TR      0800 0915 LBRARY 226 (Class)`R       0800 1000 LBRARY 226 (Exam),Main,,3,35,1,-5,35,0,44
43233,ANTH,2202,3,Full Term ... `01-SEP to 20-DEC,Day,CULTURAL ANTHROPOLOGY,Kasserman  David,MW      0930 1045 LBRARY 226 (Class)`W       1015 1215 LBRARY 226 (Exam),Main,,3,35,1,-6,35,0,44
43976,ANTH,2202,4,Full Term ... `01-SEP to 20-DEC,Day,CULTURAL ANTHROPOLOGY,Kasserman  David,TR      0930 1045 ROBSON 101B (Class)`R       1015 1215 ROBSON 101B (Exam),Main,,3,35,0,0,35,0,40
43977,ANTH,2202,5,Full Term ... `01-SEP to 20-DEC,Day,CULTURAL ANTHROPOLOGY,Schultz  Jared Stephen,MW      1400 1515 JAMES 3109 (Class)`W       1445 1645 JAMES 3109 (Exam),Main,,3,35,0,0,35,0,36
43236,ANTH,2202,6,Full Term ... `01-SEP to 20-DEC,Evening,CULTURAL ANTHROPOLOGY,Farrell  Gianna Louise,W       1830 1945 JAMES 3114 (Class)`W       1900 2100 JAMES 3114 (Exam)`W       2000 2115 JAMES 3114 (Class),Main,,3,35,1,-1,33,2,60
43239,ANTH,2202,7,Full Term ... `01-SEP to 20-DEC,Evening,CULTURAL ANTHROPOLOGY,Gabriel  Jay F,M       1830 1945 ROBSON 205 (Class)`M       1900 2100 ROBSON 205 (Exam)`M       2000 2115 ROBSON 205 (Class),Main,,3,24,1,0,24,0,26
43366,ANTH,2202,8,Full Term ... `01-SEP to 20-DEC,Evening,CULTURAL ANTHROPOLOGY,Kasserman  David,W       2000 2115 RUCAB 113 (Class)`W       2100 2300 RUCAB 113 (Exam)`W       2130 2245 RUCAB 113 (Class),Camden,,3,18,0,0,8,10,18
43240,ANTH,2202,9,Full Term ... `01-SEP to 20-DEC,Evening,CULTURAL ANTHROPOLOGY,Cordle  Chelsea Marie,TR      1700 1815 ROBSON 205 (Class)`R       1700 1900 ROBSON 205 (Exam),Main,,3,24,1,0,24,0,26
43241,ANTH,2202,10,Full Term ... `01-SEP to 20-DEC,Evening,CULTURAL ANTHROPOLOGY,Gabriel  Jay F,T       1830 1945 ROBSON 205 (Class)`T       1900 2100 ROBSON 205 (Exam)`T       2000 2115 ROBSON 205 (Class),Main,,3,24,1,0,23,1,26
43242,ANTH,2202,11,Full Term ... `01-SEP to 20-DEC,Day,CULTURAL ANTHROPOLOGY,Nickolai  Carol A,F       1100 1215 JAMES 3110 (Class)`F       1230 1345 JAMES 3110 (Class)`F       1230 1430 JAMES 3110 (Exam),Main,,3,35,1,-3,35,0,36
43363,ANTH,2202,12,Full Term ... `01-SEP to 20-DEC,Online,CULTURAL ANTHROPOLOGY ONLINE. AFTER REGISTRATION  VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Farrell  Gianna Louise,   ,Online,,3,30,0,0,31,-1,
44187,ANTH,2202,13,Full Term ... `01-SEP to 20-DEC,Day,CULTURAL ANTHROPOLOGY,Schug  Seran E,M       1400 1515 LBRARY 525 (Class)`M       1445 1645 LBRARY 525 (Exam)`M       1530 1645 LBRARY 525 (Class),Main,,3,20,0,0,22,-2,22
