Subj,Crse,Sect,(Type) 0,Day 0,Times 0, Building and Room 0,(Type) 1,Day 1,Times 1, Building and Room 1,(Type) 2,Day 2,Times 2, Building and Room 2,(Type) 3,Day 3,Times 3, Building and Room 3,(Type) 4,Day 4,Times 4, Building and Room 4,(Type) 5,Day 5,Times 5, Building and Room 5,(Type) 6,Day 6,Times 6, Building and Room 6,(Type) 7,Day 7,Times 7, Building and Room 7,(Type) 8,Day 8,Times 8, Building and Room 8,(Type) 9,Day 9,Times 9, Building and Room 9,(Type) 10,Day 10,Times 10, Building and Room 10,Session,CRN,Title,Prof,Campus,Hrs
ACC,03210,  9,(Class),T,0800 to 0915,BUNCE 109,(Class),R,0800 to 0915,BUNCE 109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42798,PRINCIPLES OF ACCTG I,Uberti Robert Fredrick,Main,3
ACC,03210, 10,(Class),T,1700 to 1815,BOZ 130,(Class),R,1700 to 1815,BOZ 130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,42799,PRINCIPLES OF ACCTG I,STAFF,Main,3
ACC,03210, 11,(Class),T,1100 to 1215,BOZ 130,(Class),R,1100 to 1215,BOZ 130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42800,PRINCIPLES OF ACCTG I,Fabrico-Basile Tracey,Main,3
ACC,03210, 12,(Class),M,0800 to 0915,BUNCE 109,(Class),W,0800 to 0915,BUNCE 109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42801,PRINCIPLES OF ACCTG I,Camma Mark F.,Main,3
ACC,03211,  1,(Class),T,1100 to 1215,BUNCE 109,(Class),R,1100 to 1215,BUNCE 109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42802,PRINCIPLES OF ACCTG II,STAFF,Main,3
ACC,03211,  2,(Class),T,0930 to 1045,BUNCE 109,(Class),R,0930 to 1045,BUNCE 109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42803,PRINCIPLES OF ACCTG II,STAFF,Main,3
ACC,03211,  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Online,42786,PRINCIPLES OF ACCTG II ONLINE. AFTER REGISTRATION VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Marmon Richard,Online,3
ACC,03211,  4,(Class),W,1100 to 1215,BOZ 130,(Class),F,1100 to 1215,BOZ 130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42804,PRINCIPLES OF ACCTG II,Hughes Diane,Main,3
ACC,03211,  5,(Class),W,1830 to 1945,BOZ 130,(Class),W,2000 to 2115,BOZ 130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,42805,PRINCIPLES OF ACCTG II,STAFF,Main,3
ACC,03300,  1,(Class),T,1700 to 1815,BUNCE 105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,42806,SUPERVISED INTERNSHIP ACCT Primarily hybrid Please contact Ms. Cindy Sykes (sykes@rowan.edu) for application and approval forms.`,Meric Gulser,Main,3
ACC,03310,  1,(Class),M,1700 to 1815,BUNCE 105,(Class),W,1700 to 1815,BUNCE 105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,42813,INTERMEDIATE ACCTG I,Sacchetta Robert J.,Main,3
ACC,03310,  2,(Class),T,1100 to 1215,BUNCE 105,(Class),R,1100 to 1215,BUNCE 105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42814,INTERMEDIATE ACCTG I,Zhang Mei,Main,3
ACC,03310,  3,(Class),M,1230 to 1345,BOZ 130,(Class),W,1230 to 1345,BOZ 130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42815,INTERMEDIATE ACCTG I,Sacchetta Robert J.,Main,3
ACC,03310,  4,(Class),M,1400 to 1515,BOZ 130,(Class),W,1400 to 1515,BOZ 130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42816,INTERMEDIATE ACCTG I,Sacchetta Robert J.,Main,3
ACC,03310,  5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,42817,INTERMEDIATE ACCTG I,STAFF,Main,3
ACC,03310,  6,(Class),M,1830 to 1945,BUNCE 109,(Class),M,2000 to 2115,BUNCE 109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,42818,INTERMEDIATE ACCTG I,STAFF,Main,3
ACC,03310,  7,(Class),T,1400 to 1515,BUNCE 109,(Class),R,1400 to 1515,BUNCE 109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42819,INTERMEDIATE ACCTG I,Zhang Mei,Main,3
ACC,03311,  1,(Class),T,1700 to 1815,BUNCE 109,(Class),R,1700 to 1815,BUNCE 109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,42820,INTERMEDIATE ACCTG II,STAFF,Main,3
ACC,03320,  1,(Class),T,1100 to 1215,BUNCE 252,(Class),R,1100 to 1215,BUNCE 252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42821,ACCTG INFO SYSTEMS Contains 5 weeks SAP content`,Chung Shifei,Main,3
ACC,03320,  2,(Class),T,1230 to 1345,BUNCE 252,(Class),R,1230 to 1345,BUNCE 252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42822,ACCTG INFO SYSTEMS Contains 5 weeks SAP content`,Chung Shifei,Main,3
ACC,03320,  3,(Class),T,1530 to 1645,BUNCE 252,(Class),R,1530 to 1645,BUNCE 252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42823,ACCTG INFO SYSTEMS Contains 5 weeks SAP content`,Chung Shifei,Main,3
ACC,03326,  1,(Class),M,0800 to 0915,BUNCE 105,(Class),W,0800 to 0915,BUNCE 105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42824,COST ACCOUNTING,Scarpa Robert F,Main,3
ACC,03326,  2,(Class),M,0930 to 1045,BUNCE 105,(Class),W,0930 to 1045,BUNCE 105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42825,COST ACCOUNTING,Scarpa Robert F,Main,3
ACC,03326,  3,(Class),T,1830 to 1945,BOZ 130,(Class),T,2000 to 2115,BOZ 130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,42826,COST ACCOUNTING,Glaum Christopher J,Main,3
ACC,03326,  4,(Class),M,1230 to 1345,BUNCE 105,(Class),W,1230 to 1345,BUNCE 105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42827,COST ACCOUNTING,Scarpa Robert F,Main,3
ACC,03405,  1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Online,42788,FOUNDATIONS OF ACCTG ONLINE. AFTER REGISTRATION VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Welsh Carol,Online,3
ACC,03410,  1,(Class),T,1830 to 1945,SCIENC 338,(Class),T,2000 to 2115,SCIENC 338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,42828,AUDITING,Honer Joseph S,Main,3
ACC,03410,  2,(Class),T,0930 to 1045,BUNCE 105,(Class),R,0930 to 1045,BUNCE 105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42829,AUDITING,Uberti Robert Fredrick,Main,3
ACC,03410,  3,(Class),F,0800 to 0915,BOZ 130,(Class),F,0930 to 1045,BOZ 130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42830,AUDITING,Uberti Robert Fredrick,Main,3
ACC,03416,  1,(Class),M,1230 to 1345,BUNCE 109,(Class),W,1230 to 1345,BUNCE 109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42831,ADV ACCOUNTING,Welsh Carol,Main,3
ACC,03416,  2,(Class),M,1400 to 1515,BUNCE 105,(Class),W,1400 to 1515,BUNCE 105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42832,ADV ACCOUNTING,Kyj Larissa,Main,3
ACC,03416,  3,(Class),M,1530 to 1645,BUNCE 109,(Class),W,1530 to 1645,BUNCE 109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42833,ADV ACCOUNTING,Kyj Larissa,Main,3
ACC,03416,  4,(Class),W,1830 to 1945,BUNCE 109,(Class),W,2000 to 2115,BUNCE 109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,42834,ADV ACCOUNTING,Kyj Larissa,Main,3
ACC,03416,  5,(Class),M,1400 to 1515,BUNCE 109,(Class),W,1400 to 1515,BUNCE 109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42835,ADV ACCOUNTING,Welsh Carol,Main,3
ACC,03432,  1,(Class),T,1230 to 1345,WESTBY 216,(Class),R,1230 to 1345,WESTBY 216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42836,FEDERAL TAXATION,Marmon Richard,Main,3
ACC,03432,  2,(Class),T,1400 to 1515,WESTBY 216,(Class),R,1400 to 1515,WESTBY 216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42837,FEDERAL TAXATION,Marmon Richard,Main,3
ACC,03432,  3,(Class),T,1530 to 1645,BUNCE 109,(Class),R,1530 to 1645,BUNCE 109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42838,FEDERAL TAXATION,Fabrico-Basile Tracey,Main,3
ACC,03432,  4,(Class),R,1830 to 1945,BUNCE 109,(Class),R,2000 to 2115,BUNCE 109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,42839,FEDERAL TAXATION,Fabrico-Basile Tracey,Main,3
ACC,03500,  1,(Class),R,1830 to 1945,ENTPRZ 514,(Class),R,2000 to 2115,ENTPRZ 514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,41908,MANAGERIAL ACCOUNTING,Zhang Mei,Main,3
ACC,03511,  1,(Class),M,1830 to 1945,ENTPRZ 514,(Class),M,2000 to 2115,ENTPRZ 514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,43827,INTRO TO  FEDERAL TAXATION,Marmon Richard,Main,3
ACC,98300,  1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,42840,LAW FOR ACCOUNTANTS,STAFF,Main,3
ACC,98300,  2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Online,42787,LAW FOR ACCOUNTANTS ONLINE. AFTER REGISTRATION VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Hughes Diane,Online,3
ADV,04330,  1,(Class),T,1400 to 1515,BOZ 112,(Class),R,1400 to 1515,301HGH 205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42220,INTRO ADVERTISING,Buckley Maria A.,Main,3
ADV,04330,  2,(Class),T,1400 to 1515,BOZ 112,(Class),R,1400 to 1515,BOZ 114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42221,INTRO ADVERTISING,Pattwell Ashley Blake,Main,3
ADV,04330,  3,(Class),T,1400 to 1515,BOZ 112,(Class),R,1230 to 1345,BOZ 114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42222,INTRO ADVERTISING,Johnson Kristine C,Main,3
ADV,04330,  4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Online,42213,INTRO ADVERTISING This section is for non-majors ONLY. ONLINE. AFTER REGISTRATION VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Ziegler Edward,Online,3
ADV,04330,  5,(Class),T,1400 to 1515,BOZ 112,(Class),R,1400 to 1515,BOZ 131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,44732,INTRO ADVERTISING,Riggs Claire F.,Main,3
ADV,04352,  1,(Class),M,1700 to 1815,WESTBY 111,(Class),M,1830 to 1945,WESTBY 111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,42219,ADVERTISING STRATEGIES,Audio Regina M,Main,3
ADV,04352,  2,(Class),M,1700 to 1815,BOZ 114,(Class),M,1830 to 1945,BOZ 114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,42224,ADVERTISING STRATEGIES,Rodolico Louis Francis,Main,3
ADV,04352,  3,(Class),M,1700 to 1815,WESTBY 111,(Class),M,1830 to 1945,WESTBY 111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,42225,ADVERTISING STRATEGIES,Pattwell Ashley Blake,Main,3
ADV,04355,  1,(Class),W,1230 to 1345,301HGH 216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42231,ADVERTISING PRACTICUM,Pattwell Ashley Blake,Main,3
ADV,04360,  1,(Class),W,1830 to 1945,301HGH 216,(Class),W,2000 to 2115,301HGH 216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,42232,INTEGRATED MARKETING COMM,Eschbach Peter Alan,Main,3
ADV,04360,  2,(Class),T,0930 to 1045,301HGH 305,(Class),R,0930 to 1045,301HGH 305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42233,INTEGRATED MARKETING COMM,Nia-Schoenstein Asadeh,Main,3
ADV,04360,  3,(Class),M,1700 to 1815,301HGH 305,(Class),W,1700 to 1815,301HGH 305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,42234,INTEGRATED MARKETING COMM,Johnson Kristine C,Main,3
ADV,04360,  4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,44733,INTEGRATED MARKETING COMM,STAFF,Main,3
ADV,04375,  1,(Class),T,1100 to 1215,301HGH 305,(Class),R,1100 to 1215,301HGH 305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42235,ADVERTISING COPYWRITING,Buckley Maria A.,Main,3
ADV,04375,  2,(Class),R,1830 to 1945,301HGH 305,(Class),R,2000 to 2115,301HGH 305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,42236,ADVERTISING COPYWRITING,Cheatham David William,Main,3
ADV,04375,  3,(Class),M,0930 to 1045,301HGH 305,(Class),W,0930 to 1045,301HGH 305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42237,ADVERTISING COPYWRITING,Johnson Kristine C,Main,3
ADV,04375,  4,(Class),M,1530 to 1645,BOZ 114,(Class),W,1530 to 1645,BOZ 114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42238,ADVERTISING COPYWRITING,Hicks Sherry C,Main,3
ADV,04375,  5,(Class),T,1230 to 1345,BUNCE 104,(Class),R,1230 to 1345,BUNCE 104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,44739,ADVERTISING COPYWRITING,Hicks Sherry C,Main,3
ADV,04420,  1,(Class),T,1530 to 1645,301HGH 305,(Class),R,1530 to 1645,301HGH 305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42239,PORTFOLIO PREPARATION,Rodolico Louis Francis,Main,3
ADV,04421,  1,(Class),M,1230 to 1345,301HGH 305,(Class),W,1230 to 1345,301HGH 305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42240,ACCOUNT PLANNING,Audio Regina M,Main,3
ADV,04421,  2,(Class),T,0930 to 1045,301HGH 216,(Class),R,0930 to 1045,301HGH 216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42241,ACCOUNT PLANNING,Hicks Sherry C,Main,3
ADV,04432,  1,(Class),T,1100 to 1215,BOZ 114,(Class),R,1100 to 1215,BOZ 114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42242,MEDIA PLANNING,Audio Regina M,Main,3
ADV,04432,  2,(Class),T,0800 to 0915,301HGH 305,(Class),R,0800 to 0915,301HGH 305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42243,MEDIA PLANNING,Vilceanu Marilena Olguta,Main,3
ADV,04434,  1,(Class),T,1100 to 1215,301HGH 216,(Class),T,1230 to 1345,301HGH 216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,42244,ADVERTISING CAMPAIGNS-WI,Rodolico Louis Francis,Main,3
AFST,11104,  1,(Class),T,1100 to 1215,ROBSON 204,(Class),R,1100 to 1215,ROBSON 204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,43219,INTRO TO AFRICANA STUDIES,Holder Kit,Main,3
AFST,11104,  2,(Class),M,1230 to 1345,ROBSON 204,(Class),W,1230 to 1345,ROBSON 204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,43220,INTRO TO AFRICANA STUDIES,Mills John T.,Main,3
AFST,11104,  3,(Class),T,1700 to 1815,ROBSON 204,(Class),T,1830 to 1945,ROBSON 204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,43221,INTRO TO AFRICANA STUDIES,Ames Lola C,Main,3
AFST,11310,  1,(Class),W,1400 to 1515,ROBSON 204,(Class),W,1530 to 1645,ROBSON 204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,43222,SRVC LRNG SEM IN AFRICANA STD,Jordan Temple,Main,3
AHI,05501, 1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Online,41873,INTEGRTD INFO TECH HEALTH CARE ONLINE. AFTER REGISTRATION VISIT ROWANONLINE.COM/PORTAL TO GET STARTED. REGISTRATION QUESTIONS? CONTACT NURSING@ROWAN.EDU. FOR MSN PROGRAM STUDENTS.`,Mobley Aleesa M,Online,3
AMST,13201,  1,(Class),T,1400 to 1515,ROBSON 204,(Class),T,1530 to 1645,ROBSON 204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,43223,INTRO TO AMERICAN STUDIES,Gennari Elizabeth V,Main,3
AMST,13201,  2,(Class),W,1700 to 1815,WILSON 108,(Class),W,1830 to 1945,WILSON 108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,43224,INTRO TO AMERICAN STUDIES,Gennari Elizabeth V,Main,3
AMST,13201,  3,(Class),M,0930 to 1045,WINANS 113,(Class),W,0930 to 1045,WINANS 113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,43225,INTRO TO AMERICAN STUDIES,STAFF,Main,3
AMST,13402,  1,(Class),F,0930 to 1045,ROBSON 204,(Class),F,1100 to 1215,ROBSON 204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,43226,SENIOR SEM AMER ST-WI,Blanck Emily Vanessa,Main,3
AMST,13402,  2,(Class),W,1530 to 1645,BUNCE 106,(Class),W,1700 to 1815,BUNCE 106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,43227,SENIOR SEM AMER ST-WI,Ashton Dianne,Main,3
AMST,13402,  3,(Class),M,1830 to 1945,ROBSON 204,(Class),M,2000 to 2115,ROBSON 204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,43228,SENIOR SEM AMER ST-WI,Harris Skylar M,Main,3
ANTH,02202,  1,(Class),M,0800 to 0915,SAVITZ 217,(Class),W,0800 to 0915,SAVITZ 217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,43229,CULTURAL ANTHROPOLOGY,Kasserman David,Main,3
ANTH,02202,  2,(Class),T,0800 to 0915,LBRARY 226,(Class),R,0800 to 0915,LBRARY 226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,43231,CULTURAL ANTHROPOLOGY,Kasserman David,Main,3
ANTH,02202,  3,(Class),M,0930 to 1045,LBRARY 226,(Class),W,0930 to 1045,LBRARY 226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,43233,CULTURAL ANTHROPOLOGY,Kasserman David,Main,3
ANTH,02202,  4,(Class),T,0930 to 1045,ROBSON 101B,(Class),R,0930 to 1045,ROBSON 101B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,43976,CULTURAL ANTHROPOLOGY,Kasserman David,Main,3
ANTH,02202,  5,(Class),M,1400 to 1515,JAMES 2094,(Class),W,1400 to 1515,JAMES 2094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,43977,CULTURAL ANTHROPOLOGY,Schultz Jared Stephen,Main,3
ANTH,02202,  6,(Class),W,1830 to 1945,ROBSON 205,(Class),W,2000 to 2115,ROBSON 205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,43236,CULTURAL ANTHROPOLOGY,Gabriel Jay F,Main,3
ANTH,02202,  7,(Class),M,1830 to 1945,ROBSON 205,(Class),M,2000 to 2115,ROBSON 205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,43239,CULTURAL ANTHROPOLOGY,Gabriel Jay F,Main,3
ANTH,02202,  8,(Class),W,2000 to 2115,RUCAB 111,(Class),W,2130 to 2245,RUCAB 111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,43366,CULTURAL ANTHROPOLOGY,Kasserman David,Camden,3
ANTH,02202,  9,(Class),T,1700 to 1815,ROBSON 205,(Class),R,1700 to 1815,ROBSON 205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,43240,CULTURAL ANTHROPOLOGY,Cordle Chelsea Marie,Main,3
ANTH,02202, 10,(Class),T,1830 to 1945,ROBSON 205,(Class),T,2000 to 2115,ROBSON 205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,43241,CULTURAL ANTHROPOLOGY,Farrell Gianna Louise,Main,3
ANTH,02202, 11,(Class),F,1100 to 1215,JAMES 3110,(Class),F,1230 to 1345,JAMES 3110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,43242,CULTURAL ANTHROPOLOGY,Nickolai Carol A,Main,3
ANTH,02202, 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Online,43363,CULTURAL ANTHROPOLOGY ONLINE. AFTER REGISTRATION VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Farrell Gianna Louise,Online,3
ANTH,02202, 13,(Class),M,1400 to 1515,LBRARY 525,(Class),M,1530 to 1645,LBRARY 525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,44187,CULTURAL ANTHROPOLOGY,Schug Seran E,Main,3
ANTH,02203,  1,(Class),M,1530 to 1645,ROBSON 205,(Class),W,1530 to 1645,ROBSON 205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,43243,INTRO ARCHEOLOGY,Hill Jane A,Main,3
ANTH,02203,  2,(Class),T,1530 to 1645,ROBSON 205,(Class),R,1530 to 1645,ROBSON 205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,43244,INTRO ARCHEOLOGY,Hill Jane A,Main,3
ANTH,02215,  1,(Class),T,1400 to 1515,ROBSON 205,(Class),R,1400 to 1515,ROBSON 205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,43245,MEDICAL ANTHROPOLOGY,Schug Seran E,Main,3
ANTH,02221,  1,(Class),M,0930 to 1045,ROBSON 205,(Class),W,0930 to 1045,ROBSON 205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,43246,HUMAN VARIATION-RS,Rosado Maria,Main,3
ANTH,02221,  2,(Class),M,1230 to 1345,ROBSON 205,(Class),W,1230 to 1345,ROBSON 205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,43248,HUMAN VARIATION,Rosado Maria,Main,3
