CRN,Subj,Crse,Sect,Part of Term,Session,Title,Prof,Day  Beg   End   Bldg Room  (Type),Campus,AddlInfo,Hrs,Max,MaxResv,LeftResv,Enr,ARRAY(0x1bc0048),Room Cap
42806,ACC,03300,  1,Full Term ... `01-SEP to 20-DEC,Evening,SUPERVISED INTERNSHIP ACCT Primarily hybrid Please contact Ms. Cindy Sykes (sykes@rowan.edu) for application and approval forms.`,Meric Gulser,T       1700 1815 BUNCE 105 (Class),Main,,3,15,0,0,4,11,30
42813,ACC,03310,  1,Full Term ... `01-SEP to 20-DEC,Evening,INTERMEDIATE ACCTG I,Sacchetta Robert J.,MW      1700 1815 BUNCE 105 (Class),Main,,3,30,0,0,22,8,30
42814,ACC,03310,  2,Full Term ... `01-SEP to 20-DEC,Day,INTERMEDIATE ACCTG I,Zhang Mei,TR      1100 1215 BUNCE 105 (Class),Main,,3,30,0,0,30,0,30
42815,ACC,03310,  3,Full Term ... `01-SEP to 20-DEC,Day,INTERMEDIATE ACCTG I,Sacchetta Robert J.,MW      1230 1345 BOZ 130 (Class),Main,,3,30,0,0,30,0,38
42816,ACC,03310,  4,Full Term ... `01-SEP to 20-DEC,Day,INTERMEDIATE ACCTG I,Sacchetta Robert J.,MW      1400 1515 BOZ 130 (Class),Main,,3,30,0,0,31,-1,38
42817,ACC,03310,  5,Full Term ... `01-SEP to 20-DEC,Evening,INTERMEDIATE ACCTG I,STAFF,,Main,,3,0,0,0,0,0,
42818,ACC,03310,  6,Full Term ... `01-SEP to 20-DEC,Evening,INTERMEDIATE ACCTG I,STAFF,M       1830 1945 BUNCE 109 (Class)`M       2000 2115 BUNCE 109 (Class),Main,,3,30,0,0,18,12,30
42819,ACC,03310,  7,Full Term ... `01-SEP to 20-DEC,Day,INTERMEDIATE ACCTG I,Zhang Mei,TR      1400 1515 BUNCE 109 (Class),Main,,3,30,0,0,30,0,30
42820,ACC,03311,  1,Full Term ... `01-SEP to 20-DEC,Evening,INTERMEDIATE ACCTG II,STAFF,TR      1700 1815 BUNCE 109 (Class),Main,,3,30,0,0,30,0,30
42821,ACC,03320,  1,Full Term ... `01-SEP to 20-DEC,Day,ACCTG INFO SYSTEMS Contains 5 weeks SAP content`,Chung Shifei,TR      1100 1215 BUNCE 252 (Class),Main,,3,27,0,0,25,2,30
42822,ACC,03320,  2,Full Term ... `01-SEP to 20-DEC,Day,ACCTG INFO SYSTEMS Contains 5 weeks SAP content`,Chung Shifei,TR      1230 1345 BUNCE 252 (Class),Main,,3,27,0,0,27,0,30
42823,ACC,03320,  3,Full Term ... `01-SEP to 20-DEC,Day,ACCTG INFO SYSTEMS Contains 5 weeks SAP content`,Chung Shifei,TR      1530 1645 BUNCE 252 (Class),Main,,3,27,0,0,23,4,30
42824,ACC,03326,  1,Full Term ... `01-SEP to 20-DEC,Day,COST ACCOUNTING,Scarpa Robert F,MW      0800 0915 BUNCE 105 (Class),Main,,3,30,0,0,30,0,30
42825,ACC,03326,  2,Full Term ... `01-SEP to 20-DEC,Day,COST ACCOUNTING,Scarpa Robert F,MW      0930 1045 BUNCE 105 (Class),Main,,3,30,0,0,29,1,30
42826,ACC,03326,  3,Full Term ... `01-SEP to 20-DEC,Evening,COST ACCOUNTING,Glaum Christopher J,T       1830 1945 BOZ 130 (Class)`T       2000 2115 BOZ 130 (Class),Main,,3,30,0,0,31,-1,38
42827,ACC,03326,  4,Full Term ... `01-SEP to 20-DEC,Day,COST ACCOUNTING,Scarpa Robert F,MW      1230 1345 BUNCE 105 (Class),Main,,3,30,0,0,30,0,30
42788,ACC,03405,  1,Full Term ... `01-SEP to 20-DEC,Online,FOUNDATIONS OF ACCTG ONLINE. AFTER REGISTRATION VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Welsh Carol,   ,Online,,3,30,0,0,25,5,
42828,ACC,03410,  1,Full Term ... `01-SEP to 20-DEC,Evening,AUDITING,Honer Joseph S,T       1830 1945 SCIENC 338 (Class)`T       2000 2115 SCIENC 338 (Class),Main,,3,30,0,0,31,-1,35
42829,ACC,03410,  2,Full Term ... `01-SEP to 20-DEC,Day,AUDITING,Uberti Robert Fredrick,TR      0930 1045 BUNCE 105 (Class),Main,,3,30,0,0,30,0,30
42830,ACC,03410,  3,Full Term ... `01-SEP to 20-DEC,Day,AUDITING,Uberti Robert Fredrick,F       0800 0915 BOZ 130 (Class)`F       0930 1045 BOZ 130 (Class),Main,,3,30,0,0,29,1,38
42831,ACC,03416,  1,Full Term ... `01-SEP to 20-DEC,Day,ADV ACCOUNTING,Welsh Carol,MW      1230 1345 BUNCE 109 (Class),Main,,3,30,0,0,30,0,30
42832,ACC,03416,  2,Full Term ... `01-SEP to 20-DEC,Day,ADV ACCOUNTING,Kyj Larissa,MW      1400 1515 BUNCE 105 (Class),Main,,3,30,0,0,30,0,30
42833,ACC,03416,  3,Full Term ... `01-SEP to 20-DEC,Day,ADV ACCOUNTING,Kyj Larissa,MW      1530 1645 BUNCE 109 (Class),Main,,3,30,0,0,17,13,30
42834,ACC,03416,  4,Full Term ... `01-SEP to 20-DEC,Evening,ADV ACCOUNTING,Kyj Larissa,W       1830 1945 BUNCE 109 (Class)`W       2000 2115 BUNCE 109 (Class),Main,,3,30,0,0,26,4,30
42835,ACC,03416,  5,Full Term ... `01-SEP to 20-DEC,Day,ADV ACCOUNTING,Welsh Carol,MW      1400 1515 BUNCE 109 (Class),Main,,3,30,0,0,30,0,30
42836,ACC,03432,  1,Full Term ... `01-SEP to 20-DEC,Day,FEDERAL TAXATION,Marmon Richard,TR      1230 1345 WESTBY 216 (Class),Main,,3,30,0,0,29,1,36
42837,ACC,03432,  2,Full Term ... `01-SEP to 20-DEC,Day,FEDERAL TAXATION,Marmon Richard,TR      1400 1515 WESTBY 216 (Class),Main,,3,30,0,0,26,4,36
42838,ACC,03432,  3,Full Term ... `01-SEP to 20-DEC,Day,FEDERAL TAXATION,Fabrico-Basile Tracey,TR      1530 1645 BUNCE 109 (Class),Main,,3,30,0,0,29,1,30
42839,ACC,03432,  4,Full Term ... `01-SEP to 20-DEC,Evening,FEDERAL TAXATION,Fabrico-Basile Tracey,R       1830 1945 BUNCE 109 (Class)`R       2000 2115 BUNCE 109 (Class),Main,,3,30,0,0,16,14,30
41908,ACC,03500,  1,Full Term ... `01-SEP to 20-DEC,Evening,MANAGERIAL ACCOUNTING,Zhang Mei,R       1830 1945 ENTPRZ 514 (Class)`R       2000 2115 ENTPRZ 514 (Class),Main,,3,24,0,0,16,8,40
43827,ACC,03511,  1,Full Term ... `01-SEP to 20-DEC,Evening,INTRO TO  FEDERAL TAXATION,Marmon Richard,M       1830 1945 ENTPRZ 514 (Class)`M       2000 2115 ENTPRZ 514 (Class),Main,,3,24,0,0,4,20,40
42840,ACC,98300,  1,Full Term ... `01-SEP to 20-DEC,Evening,LAW FOR ACCOUNTANTS,STAFF,,Main,,3,0,0,0,0,0,
42787,ACC,98300,  2,Full Term ... `01-SEP to 20-DEC,Online,LAW FOR ACCOUNTANTS ONLINE. AFTER REGISTRATION VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Hughes Diane,   ,Online,,3,30,0,0,20,10,
42220,ADV,04330,  1,Full Term ... `01-SEP to 20-DEC,Day,INTRO ADVERTISING,Buckley Maria A.,T       1400 1515 BOZ 112 (Class)`R       1400 1515 301HGH 205 (Class),Main,,3,29,0,0,27,2,29
42221,ADV,04330,  2,Full Term ... `01-SEP to 20-DEC,Day,INTRO ADVERTISING,Pattwell Ashley Blake,T       1400 1515 BOZ 112 (Class)`R       1400 1515 BOZ 114 (Class),Main,,3,30,0,0,30,0,38
42222,ADV,04330,  3,Full Term ... `01-SEP to 20-DEC,Day,INTRO ADVERTISING,Johnson Kristine C,T       1400 1515 BOZ 112 (Class)`R       1230 1345 BOZ 114 (Class),Main,,3,30,0,0,12,18,38
42213,ADV,04330,  4,Full Term ... `01-SEP to 20-DEC,Online,INTRO ADVERTISING This section is for non-majors ONLY. ONLINE. AFTER REGISTRATION VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Ziegler Edward,   ,Online,,3,30,0,0,29,1,
44732,ADV,04330,  5,Full Term ... `01-SEP to 20-DEC,Day,INTRO ADVERTISING,Riggs Claire F.,T       1400 1515 BOZ 112 (Class)`R       1400 1515 BOZ 131 (Class),Main,,3,30,0,0,11,19,38
42219,ADV,04352,  1,Full Term ... `01-SEP to 20-DEC,Evening,ADVERTISING STRATEGIES,Audio Regina M,M       1700 1815 WESTBY 111 (Class)`M       1830 1945 WESTBY 111 (Class),Main,,3,20,0,0,22,-2,110
42224,ADV,04352,  2,Full Term ... `01-SEP to 20-DEC,Evening,ADVERTISING STRATEGIES,Rodolico Louis Francis,M       1700 1815 BOZ 114 (Class)`M       1830 1945 BOZ 114 (Class),Main,,3,20,0,0,22,-2,38
42225,ADV,04352,  3,Full Term ... `01-SEP to 20-DEC,Evening,ADVERTISING STRATEGIES,Pattwell Ashley Blake,M       1700 1815 WESTBY 111 (Class)`M       1830 1945 WESTBY 111 (Class),Main,,3,20,0,0,19,1,110
42231,ADV,04355,  1,Full Term ... `01-SEP to 20-DEC,Day,ADVERTISING PRACTICUM,Pattwell Ashley Blake,W       1230 1345 301HGH 216 (Class),Main,,3,15,0,0,17,-2,19
42232,ADV,04360,  1,Full Term ... `01-SEP to 20-DEC,Evening,INTEGRATED MARKETING COMM,Eschbach Peter Alan,W       1830 1945 301HGH 216 (Class)`W       2000 2115 301HGH 216 (Class),Main,,3,19,0,0,18,1,19
42233,ADV,04360,  2,Full Term ... `01-SEP to 20-DEC,Day,INTEGRATED MARKETING COMM,Nia-Schoenstein Asadeh,TR      0930 1045 301HGH 305 (Class),Main,,3,25,0,0,25,0,29
42234,ADV,04360,  3,Full Term ... `01-SEP to 20-DEC,Evening,INTEGRATED MARKETING COMM,Johnson Kristine C,MW      1700 1815 301HGH 305 (Class),Main,,3,25,0,0,23,2,29
44733,ADV,04360,  4,Full Term ... `01-SEP to 20-DEC,Day,INTEGRATED MARKETING COMM,STAFF,,Main,,3,0,0,0,0,0,
42235,ADV,04375,  1,Full Term ... `01-SEP to 20-DEC,Day,ADVERTISING COPYWRITING,Buckley Maria A.,TR      1100 1215 301HGH 305 (Class),Main,,3,20,0,0,22,-2,29
42236,ADV,04375,  2,Full Term ... `01-SEP to 20-DEC,Evening,ADVERTISING COPYWRITING,Cheatham David William,R       1830 1945 301HGH 305 (Class)`R       2000 2115 301HGH 305 (Class),Main,,3,20,0,0,12,8,29
42237,ADV,04375,  3,Full Term ... `01-SEP to 20-DEC,Day,ADVERTISING COPYWRITING,Johnson Kristine C,MW      0930 1045 301HGH 305 (Class),Main,,3,20,0,0,20,0,29
42238,ADV,04375,  4,Full Term ... `01-SEP to 20-DEC,Day,ADVERTISING COPYWRITING,Hicks Sherry C,MW      1530 1645 BOZ 114 (Class),Main,,3,20,0,0,19,1,38
44739,ADV,04375,  5,Full Term ... `01-SEP to 20-DEC,Day,ADVERTISING COPYWRITING,Hicks Sherry C,TR      1230 1345 BUNCE 104 (Class),Main,,3,20,0,0,11,9,24
42239,ADV,04420,  1,Full Term ... `01-SEP to 20-DEC,Day,PORTFOLIO PREPARATION,Rodolico Louis Francis,TR      1530 1645 301HGH 305 (Class),Main,,3,24,0,0,25,-1,29
42240,ADV,04421,  1,Full Term ... `01-SEP to 20-DEC,Day,ACCOUNT PLANNING,Audio Regina M,MW      1230 1345 301HGH 305 (Class),Main,,3,24,0,0,29,-5,29
42241,ADV,04421,  2,Full Term ... `01-SEP to 20-DEC,Day,ACCOUNT PLANNING,Hicks Sherry C,TR      0930 1045 301HGH 216 (Class),Main,,3,19,0,0,19,0,19
42242,ADV,04432,  1,Full Term ... `01-SEP to 20-DEC,Day,MEDIA PLANNING,Audio Regina M,TR      1100 1215 BOZ 114 (Class),Main,,3,24,0,0,25,-1,38
42243,ADV,04432,  2,Full Term ... `01-SEP to 20-DEC,Day,MEDIA PLANNING,Vilceanu Marilena Olguta,TR      0800 0915 301HGH 305 (Class),Main,,3,24,0,0,24,0,29
42244,ADV,04434,  1,Full Term ... `01-SEP to 20-DEC,Day,ADVERTISING CAMPAIGNS-WI,Rodolico Louis Francis,T       1100 1215 301HGH 216 (Class)`T       1230 1345 301HGH 216 (Class),Main,,3,20,0,0,9,11,19
43219,AFST,11104,  1,Full Term ... `01-SEP to 20-DEC,Day,INTRO TO AFRICANA STUDIES,Holder Kit,TR      1100 1215 ROBSON 204 (Class),Main,,3,24,0,0,23,1,24
43220,AFST,11104,  2,Full Term ... `01-SEP to 20-DEC,Day,INTRO TO AFRICANA STUDIES,Mills John T.,MW      1230 1345 ROBSON 204 (Class),Main,,3,24,0,0,24,0,24
43221,AFST,11104,  3,Full Term ... `01-SEP to 20-DEC,Evening,INTRO TO AFRICANA STUDIES,Ames Lola C,T       1700 1815 ROBSON 204 (Class)`T       1830 1945 ROBSON 204 (Class),Main,,3,24,1,0,16,8,24
43222,AFST,11310,  1,Full Term ... `01-SEP to 20-DEC,Day,SRVC LRNG SEM IN AFRICANA STD,Jordan Temple,W       1400 1515 ROBSON 204 (Class)`W       1530 1645 ROBSON 204 (Class),Main,,3,20,0,0,0,20,24
41873,AHI,05501, 1C,CGCE First Session ... `30-AUG to 05-DEC,Online,INTEGRTD INFO TECH HEALTH CARE ONLINE. AFTER REGISTRATION VISIT ROWANONLINE.COM/PORTAL TO GET STARTED. REGISTRATION QUESTIONS? CONTACT NURSING@ROWAN.EDU. FOR MSN PROGRAM STUDENTS.`,Mobley Aleesa M,   ,Online,,3,30,0,0,4,26,
43223,AMST,13201,  1,Full Term ... `01-SEP to 20-DEC,Day,INTRO TO AMERICAN STUDIES,Gennari Elizabeth V,T       1400 1515 ROBSON 204 (Class)`T       1530 1645 ROBSON 204 (Class),Main,,3,24,0,0,24,0,24
43224,AMST,13201,  2,Full Term ... `01-SEP to 20-DEC,Evening,INTRO TO AMERICAN STUDIES,Gennari Elizabeth V,W       1700 1815 WILSON 108 (Class)`W       1830 1945 WILSON 108 (Class),Main,,3,35,0,0,35,0,35
43225,AMST,13201,  3,Full Term ... `01-SEP to 20-DEC,Day,INTRO TO AMERICAN STUDIES,STAFF,MW      0930 1045 WINANS 113 (Class),Main,,3,35,0,0,35,0,36
43226,AMST,13402,  1,Full Term ... `01-SEP to 20-DEC,Day,SENIOR SEM AMER ST-WI,Blanck Emily Vanessa,F       0930 1045 ROBSON 204 (Class)`F       1100 1215 ROBSON 204 (Class),Main,,3,15,0,0,10,5,24
43227,AMST,13402,  2,Full Term ... `01-SEP to 20-DEC,Day,SENIOR SEM AMER ST-WI,Ashton Dianne,W       1530 1645 BUNCE 106 (Class)`W       1700 1815 BUNCE 106 (Class),Main,,3,15,0,0,15,0,36
43228,AMST,13402,  3,Full Term ... `01-SEP to 20-DEC,Evening,SENIOR SEM AMER ST-WI,Harris Skylar M,M       1830 1945 ROBSON 204 (Class)`M       2000 2115 ROBSON 204 (Class),Main,,3,15,0,0,15,0,24
43229,ANTH,02202,  1,Full Term ... `01-SEP to 20-DEC,Day,CULTURAL ANTHROPOLOGY,Kasserman David,MW      0800 0915 SAVITZ 217 (Class),Main,,3,26,1,-5,26,0,26
43231,ANTH,02202,  2,Full Term ... `01-SEP to 20-DEC,Day,CULTURAL ANTHROPOLOGY,Kasserman David,TR      0800 0915 LBRARY 226 (Class),Main,,3,35,1,-5,33,2,44
43233,ANTH,02202,  3,Full Term ... `01-SEP to 20-DEC,Day,CULTURAL ANTHROPOLOGY,Kasserman David,MW      0930 1045 LBRARY 226 (Class),Main,,3,35,1,-7,35,0,44
43976,ANTH,02202,  4,Full Term ... `01-SEP to 20-DEC,Day,CULTURAL ANTHROPOLOGY,Kasserman David,TR      0930 1045 ROBSON 101B (Class),Main,,3,35,0,0,35,0,40
43977,ANTH,02202,  5,Full Term ... `01-SEP to 20-DEC,Day,CULTURAL ANTHROPOLOGY,Schultz Jared Stephen,MW      1400 1515 JAMES 2094 (Class),Main,,3,16,0,0,15,1,16
43236,ANTH,02202,  6,Full Term ... `01-SEP to 20-DEC,Evening,CULTURAL ANTHROPOLOGY,Gabriel Jay F,W       1830 1945 ROBSON 205 (Class)`W       2000 2115 ROBSON 205 (Class),Main,,3,24,1,-3,22,2,26
43239,ANTH,02202,  7,Full Term ... `01-SEP to 20-DEC,Evening,CULTURAL ANTHROPOLOGY,Gabriel Jay F,M       1830 1945 ROBSON 205 (Class)`M       2000 2115 ROBSON 205 (Class),Main,,3,24,1,-2,23,1,26
43366,ANTH,02202,  8,Full Term ... `01-SEP to 20-DEC,Evening,CULTURAL ANTHROPOLOGY,Kasserman David,W       2000 2115 RUCAB 111 (Class)`W       2130 2245 RUCAB 111 (Class),Camden,,3,27,0,0,5,22,27
43240,ANTH,02202,  9,Full Term ... `01-SEP to 20-DEC,Evening,CULTURAL ANTHROPOLOGY,Cordle Chelsea Marie,TR      1700 1815 ROBSON 205 (Class),Main,,3,24,1,-2,24,0,26
43241,ANTH,02202, 10,Full Term ... `01-SEP to 20-DEC,Evening,CULTURAL ANTHROPOLOGY,Farrell Gianna Louise,T       1830 1945 ROBSON 205 (Class)`T       2000 2115 ROBSON 205 (Class),Main,,3,24,1,-1,24,0,26
43242,ANTH,02202, 11,Full Term ... `01-SEP to 20-DEC,Day,CULTURAL ANTHROPOLOGY,Nickolai Carol A,F       1100 1215 JAMES 3110 (Class)`F       1230 1345 JAMES 3110 (Class),Main,,3,35,1,-6,34,1,36
43363,ANTH,02202, 12,Full Term ... `01-SEP to 20-DEC,Online,CULTURAL ANTHROPOLOGY ONLINE. AFTER REGISTRATION VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Farrell Gianna Louise,   ,Online,,3,30,0,0,30,0,
44187,ANTH,02202, 13,Full Term ... `01-SEP to 20-DEC,Day,CULTURAL ANTHROPOLOGY,Schug Seran E,M       1400 1515 LBRARY 525 (Class)`M       1530 1645 LBRARY 525 (Class),Main,,3,20,0,0,20,0,22
43243,ANTH,02203,  1,Full Term ... `01-SEP to 20-DEC,Day,INTRO ARCHEOLOGY,Hill Jane A,MW      1530 1645 ROBSON 205 (Class),Main,,3,24,0,0,24,0,26
43244,ANTH,02203,  2,Full Term ... `01-SEP to 20-DEC,Day,INTRO ARCHEOLOGY,Hill Jane A,TR      1530 1645 ROBSON 205 (Class),Main,,3,24,0,0,22,2,26
43245,ANTH,02215,  1,Full Term ... `01-SEP to 20-DEC,Day,MEDICAL ANTHROPOLOGY,Schug Seran E,TR      1400 1515 ROBSON 205 (Class),Main,,3,24,0,0,24,0,26
43246,ANTH,02221,  1,Full Term ... `01-SEP to 20-DEC,Day,HUMAN VARIATION-RS,Rosado Maria,MW      0930 1045 ROBSON 205 (Class),Main,,3,0,0,0,22,-22,26
43248,ANTH,02221,  2,Full Term ... `01-SEP to 20-DEC,Day,HUMAN VARIATION,Rosado Maria,MW      1230 1345 ROBSON 205 (Class),Main,,3,24,0,0,24,0,26
43249,ANTH,02221,  3,Full Term ... `01-SEP to 20-DEC,Day,HUMAN VARIATION,Nickolai Carol A,MW      1100 1215 SAVITZ 217 (Class),Main,,3,26,0,0,26,0,26
43364,ANTH,02221,  4,Full Term ... `01-SEP to 20-DEC,Online,HUMAN VARIATION ONLINE. AFTER REGISTRATION VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Hill Jane A,   ,Online,,3,30,0,0,26,4,
40018,ANTH,02221,  5,Full Term ... `01-SEP to 20-DEC,Online,HUMAN VARIATION ONLINE. AFTER REGISTRATION VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Hill Jane A,   ,Online,,3,30,0,0,20,10,
43251,ANTH,02290,  1,Full Term ... `01-SEP to 20-DEC,Day,MUSEUM STUDIES,Hill Jane A,TR      1230 1345 ROBSON 205 (Class),Main,,3,24,0,0,22,2,26
43252,ANTH,02301,  1,Full Term ... `01-SEP to 20-DEC,Day,HUMAN EVOLUTION,Rosado Maria,F       0930 1045 ROBSON 205 (Class)`F       1100 1215 ROBSON 205 (Class),Main,,3,24,0,0,9,15,26
43253,ANTH,02310,  1,Full Term ... `01-SEP to 20-DEC,Day,INDIANS NORTH AMERICA,Schultz Jared Stephen,MW      1100 1215 ROBSON 205 (Class),Main,,3,24,0,0,24,0,26
43254,ANTH,02323,  1,Full Term ... `01-SEP to 20-DEC,Evening,ANTHRO-MAGIC & RELIGION,Cushman Robert Dustin,MW      1700 1815 ROBSON 205 (Class),Main,,3,24,0,0,22,2,26
43255,ANTH,02323,  2,Full Term ... `01-SEP to 20-DEC,Day,ANTHRO-MAGIC & RELIGION,Cushman Robert Dustin,TR      0930 1045 ROBSON 205 (Class),Main,,3,24,0,0,20,4,26
43256,ANTH,02420,  1,Full Term ... `01-SEP to 20-DEC,Day,CULTURE AND PERSONALITY,Schug Seran E,TR      1100 1215 ROBSON 205 (Class),Main,,3,24,0,0,23,1,26
43257,ANTH,02492,  1,Full Term ... `01-SEP to 20-DEC,Day,SEM IN ANTH:ARTS & MEDICINE,STAFF,,Main,,3,0,0,0,0,0,
42050,ARAB,12101,  1,Full Term ... `01-SEP to 20-DEC,Evening,ELEMENTARY ARABIC I,STAFF,MW      1830 1945 LBRARY 578 (Class),Main,,3,24,0,0,24,0,32
42051,ARAB,12201,  1,Full Term ... `01-SEP to 20-DEC,Evening,INTERMEDIATE ARABIC I Prerequisite waiver available.  Please contact ForeignLang@rowan.edu`,STAFF,MW      1830 1945 JAMES 2099 (Class),Main,,3,16,0,0,2,14,16
41943,ARHS,03103,  1,Full Term ... `01-SEP to 20-DEC,Day,ART HIST SURVEY I Off-campus Trip`,Lantzas Catherine A,F       1100 1215 WESTBY 111 (Class)`F       1230 1345 WESTBY 111 (Class),Main,,3,35,0,0,27,8,110
41945,ARHS,03104,  1,Full Term ... `01-SEP to 20-DEC,Day,ART HIST SURVEY II Off-campus Trip`,Adelson Fred,MW      0930 1045 WESTBY 111 (Class),Main,,3,35,0,0,35,0,110
41963,ARHS,03130,  1,Full Term ... `01-SEP to 20-DEC,Day,ART APPRECIATION Off-campus Trip`,Sablove Henrietta F,MW      1230 1345 WESTBY 111 (Class),Main,,3,40,1,-8,40,0,110
41964,ARHS,03130,  2,Full Term ... `01-SEP to 20-DEC,Day,ART APPRECIATION Off-campus Trip`,Sablove Henrietta F,MW      1530 1645 WESTBY 111 (Class),Main,,3,40,1,-7,40,0,110
41965,ARHS,03130,  3,Full Term ... `01-SEP to 20-DEC,Day,ART APPRECIATION Off-campus Trip`,Mitchell John J.,TR      1530 1645 WESTBY 111 (Class),Main,,3,40,1,-8,40,0,110
41927,ARHS,03130,  4,Full Term ... `01-SEP to 20-DEC,Online,ART APPRECIATION ONLINE. AFTER REGISTRATION VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Cocco Caitlin S,   ,Online,,3,27,0,0,27,0,
43892,ARHS,03130,  5,Full Term ... `01-SEP to 20-DEC,Online,ART APPRECIATION ONLINE.  AFTER REGISTRATION VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Cocco Caitlin S,   ,Online,,3,27,0,0,27,0,
43893,ARHS,03130,  6,Full Term ... `01-SEP to 20-DEC,Day,ART APPRECIATIONOff-campus Trip`,Lantzas Catherine A,TR      1230 1345 WESTBY 111 (Class),Main,,3,40,1,-9,40,0,110
