CRN,Subj,Crse,Sect,Part of Term,Session,Title,Prof,Day  Beg   End   Bldg Room  (Type),Campus,AddlInfo,Hrs,Max,MaxResv,LeftResv,Enr,ARRAY(0x30e5dc0),Room Cap
21039,ACC,03326,  3,Full Term ... `17-JAN to 08-MAY,Evening,COST ACCOUNTING,STAFF,TR      1700 1815 BUSN 101 (Class),Main,,3,0,0,0,0,0,40
21005,ACC,03405,  1,Full Term ... `17-JAN to 08-MAY,Online,FOUNDATIONS OF ACCTG ONLINE. AFTER REGISTRATION  VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,STAFF,   ,Online,,3,35,0,0,0,35,
21040,ACC,03410,  1,Full Term ... `17-JAN to 08-MAY,Evening,AUDITING,Honer  Joseph S,M       1830 1945 BUSN 131 (Class)`M       2000 2115 BUSN 131 (Class),Main,,3,32,0,0,0,32,40
21041,ACC,03410,  2,Full Term ... `17-JAN to 08-MAY,Day,AUDITING,STAFF,MW      1530 1645 BUSN 131 (Class),Main,,3,0,0,0,0,0,40
21042,ACC,03416,  1,Full Term ... `17-JAN to 08-MAY,Day,ADV ACCOUNTING,STAFF,MW      1230 1345 BUSN 103 (Class),Main,,3,32,0,0,0,32,40
21043,ACC,03425,  1,Full Term ... `17-JAN to 08-MAY,Day,INTERNATIONAL ACCOUNTING,Kyj  Larissa,TR      1100 1215 BUSN 103 (Class),Main,,3,32,0,0,0,32,40
21046,ACC,03425,  2,Full Term ... `17-JAN to 08-MAY,Evening,INTERNATIONAL ACCOUNTING,STAFF,T       1830 1945 BUSN 103 (Class)`T       2000 2115 BUSN 103 (Class),Main,,3,32,0,0,0,32,40
21047,ACC,03425,  3,Full Term ... `17-JAN to 08-MAY,Day,INTERNATIONAL ACCOUNTING,Kyj  Larissa,TR      1230 1345 BUSN 103 (Class),Main,,3,32,0,0,0,32,40
21048,ACC,03425,  4,Full Term ... `17-JAN to 08-MAY,Day,INTERNATIONAL ACCOUNTING,Kyj  Larissa,TR      1530 1645 BUSN 103 (Class),Main,,3,32,0,0,0,32,40
21049,ACC,03425,  5,Full Term ... `17-JAN to 08-MAY,Evening,INTERNATIONAL ACCOUNTING,STAFF,M       1830 1945 BUSN 103 (Class)`M       2000 2115 BUSN 103 (Class),Main,,3,32,0,0,0,32,40
21050,ACC,03428,  1,Full Term ... `17-JAN to 08-MAY,Evening,INTEGRATIVE ACCT SEMINAR,STAFF,R       1830 1945 BUSN 131 (Class)`R       2000 2115 BUSN 131 (Class),Main,,3,24,0,0,0,24,40
21051,ACC,03428,  2,Full Term ... `17-JAN to 08-MAY,Day,INTEGRATIVE ACCT SEMINAR,Welsh  Carol,TR      0930 1045 BUSN 301 (Class),Main,,3,24,0,0,0,24,40
21052,ACC,03428,  3,Full Term ... `17-JAN to 08-MAY,Day,INTEGRATIVE ACCT SEMINAR,Welsh  Carol,TR      1100 1215 BUSN 301 (Class),Main,,3,24,0,0,0,24,40
21053,ACC,03428,  4,Full Term ... `17-JAN to 08-MAY,Day,INTEGRATIVE ACCT SEMINAR,Welsh  Carol,TR      1400 1515 BUSN 301 (Class),Main,,3,24,0,0,0,24,40
21054,ACC,03428,  5,Full Term ... `17-JAN to 08-MAY,Day,INTEGRATIVE ACCT SEMINAR,STAFF,TR      1530 1645 BUSN 301 (Class),Main,,3,24,0,0,0,24,40
21055,ACC,03428,  6,Full Term ... `17-JAN to 08-MAY,Evening,INTEGRATIVE ACCT SEMINAR,STAFF,T       1830 1945 BUSN 131 (Class)`T       2000 2115 BUSN 131 (Class),Main,,3,0,0,0,0,0,40
21056,ACC,03431,  1,Full Term ... `17-JAN to 08-MAY,Day,TAXATION OF BUS ENTITIES,Marmon  Richard,TR      1400 1515 BUSN 103 (Class),Main,,3,32,0,0,0,32,40
21057,ACC,03431,  2,Full Term ... `17-JAN to 08-MAY,Day,TAXATION OF BUS ENTITIES,Marmon  Richard,TR      1100 1215 BUSN 121 (Class),Main,,3,32,0,0,0,32,40
21058,ACC,03431,  3,Full Term ... `17-JAN to 08-MAY,Day,TAXATION OF BUS ENTITIES,Marmon  Richard,TR      0930 1045 BUSN 103 (Class),Main,,3,32,0,0,0,32,40
21059,ACC,03432,  1,Full Term ... `17-JAN to 08-MAY,Day,FEDERAL TAXATION,Fabrico-Basile  Tracey,MW      1400 1515 BUSN 103 (Class),Main,,3,32,0,0,0,32,40
21060,ACC,03432,  2,Full Term ... `17-JAN to 08-MAY,Day,FEDERAL TAXATION,Fabrico-Basile  Tracey,MW      1530 1645 BUSN 103 (Class),Main,,3,32,0,0,0,32,40
21061,ACC,03432,  3,Full Term ... `17-JAN to 08-MAY,Evening,FEDERAL TAXATION,Fabrico-Basile  Tracey,W       1830 1945 BUSN 103 (Class)`W       2000 2115 BUSN 103 (Class),Main,,3,32,0,0,0,32,40
21100,ACC,03500,  1,Full Term ... `17-JAN to 08-MAY,Evening,MANAGERIAL ACCOUNTING,Zhang  Mei,R       1830 1945 BUSN 303 (Class)`R       2000 2115 BUSN 303 (Class),Main,,3,30,0,0,0,30,40
21091,ACC,03500, 1C,CGCE Module Four Online ... `28-FEB to 24-APR,Hybrid,MANAGERIAL ACCOUNTING This section is held at Rowan College at Burlington County. HYBRID. AFTER REGISTRATION  VISIT ROWANONLINE.COM/PORTAL TO GET STARTED ONLINE. FOR MBA PROGRAM STUDENTS.`,Scarpa  Robert F,M       1830 1945 BCTC  (Class)`M       2000 2115 BCTC  (Class),Rowan College at Burlington Co,,3,30,0,0,0,30,
21099,ACC,03513,  1,Full Term ... `17-JAN to 08-MAY,Evening,CPA REVIEW,Scarpa  Robert F,W       1830 1945 BUSN 223 (Class)`W       2000 2115 BUSN 223 (Class),Main,,3,30,0,0,0,30,40
21004,ACC,98300,  1,Full Term ... `17-JAN to 08-MAY,Online,LAW FOR ACCOUNTANTS ONLINE. AFTER REGISTRATION  VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Hughes  Diane,   ,Online,,3,32,0,0,0,32,
22282,ADV,04330,  1,Full Term ... `17-JAN to 08-MAY,Day,INTRO ADVERTISING,Johnson  Kristine C,T       1230 1345 BOZ 112 (Class)`R       1230 1345 301HGH 305 (Class),Main,,3,29,0,0,0,29,29
22284,ADV,04330,  2,Full Term ... `17-JAN to 08-MAY,Day,INTRO ADVERTISING,Buckley  Maria A.,T       1230 1345 BOZ 112 (Class)`R       1230 1345 BOZ 108 (Class),Main,,3,30,0,0,0,30,24
22285,ADV,04330,  3,Full Term ... `17-JAN to 08-MAY,Day,INTRO ADVERTISING,Pattwell  Ashley Blake,T       1230 1345 BOZ 112 (Class)`R       1230 1345 BOZ 114 (Class),Main,,3,24,0,0,0,24,38
22271,ADV,04330,  4,Full Term ... `17-JAN to 08-MAY,Online,INTRO ADVERTISING This section is for non-majors only. ONLINE. AFTER REGISTRATION  VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Ziegler  Edward,   ,Online,,3,30,0,0,0,30,
22288,ADV,04330,  5,Full Term ... `17-JAN to 08-MAY,Day,INTRO ADVERTISING,Riggs  Claire F.,T       1230 1345 BOZ 112 (Class)`R       1400 1515 301HGH 216 (Class),Main,,3,19,0,0,0,19,19
22290,ADV,04352,  1,Full Term ... `17-JAN to 08-MAY,Day,ADVERTISING STRATEGIES,Rodolico  Louis Francis,T       1100 1215 301HGH 216 (Class)`T       1230 1345 301HGH 216 (Class),Main,,3,19,0,0,0,19,19
22348,ADV,04355,  1,Full Term ... `17-JAN to 08-MAY,Day,ADVERTISING PRACTICUM,Riggs  Claire F.,W       1230 1345 301HGH 216 (Class),Main,,3,19,0,0,0,19,19
22350,ADV,04360,  1,Full Term ... `17-JAN to 08-MAY,Day,INTEGRATED MARKETING COMM,Johnson  Kristine C,MW      1700 1815 301HGH 305 (Class),Main,,3,24,0,0,0,24,29
22351,ADV,04360,  2,Full Term ... `17-JAN to 08-MAY,Day,INTEGRATED MARKETING COMM,Nia-Schoenstein  Asadeh,TR      1400 1515 BOZ 114 (Class),Main,,3,24,0,0,0,24,38
22352,ADV,04360,  3,Full Term ... `17-JAN to 08-MAY,Evening,INTEGRATED MARKETING COMM,Eschbach  Peter Alan,W       1830 1945 301HGH 305 (Class)`W       2000 2115 301HGH 305 (Class),Main,,3,24,0,0,0,24,29
22353,ADV,04375,  1,Full Term ... `17-JAN to 08-MAY,Day,ADVERTISING COPYWRITING,Johnson  Kristine C,TR      1400 1515 301HGH 305 (Class),Main,,3,19,0,0,0,19,29
22355,ADV,04375,  2,Full Term ... `17-JAN to 08-MAY,Day,ADVERTISING COPYWRITING,Hicks  Sherry C,MW      0930 1045 BOZ 114 (Class),Main,,3,24,0,0,0,24,38
22356,ADV,04375,  3,Full Term ... `17-JAN to 08-MAY,Day,ADVERTISING COPYWRITING,Buckley  Maria A.,TR      0930 1045 301HGH 305 (Class),Main,,3,19,0,0,0,19,29
22358,ADV,04375,  4,Full Term ... `17-JAN to 08-MAY,Day,ADVERTISING COPYWRITING,Cheatham  David William,M       1830 1945 301HGH 305 (Class)`M       2000 2115 301HGH 305 (Class),Main,,3,22,0,0,0,22,29
22338,ADV,04420,  1,Full Term ... `17-JAN to 08-MAY,Day,PORTFOLIO PREPARATION,Rodolico  Louis Francis,TR      1530 1645 301HGH 305 (Class),Main,,3,24,0,0,0,24,29
22339,ADV,04421,  1,Full Term ... `17-JAN to 08-MAY,Day,ACCOUNT PLANNING,Hicks  Sherry C,MW      1530 1645 301HGH 305 (Class),Main,,3,24,0,0,0,24,29
22340,ADV,04421,  2,Full Term ... `17-JAN to 08-MAY,Day,ACCOUNT PLANNING,Audio  Regina M,TR      0930 1045 BOZ 114 (Class),Main,,3,24,0,0,0,24,38
22342,ADV,04432,  1,Full Term ... `17-JAN to 08-MAY,Day,MEDIA PLANNING,Audio  Regina M,TR      1100 1215 301HGH 305 (Class),Main,,3,24,0,0,0,24,29
22343,ADV,04432,  2,Full Term ... `17-JAN to 08-MAY,Day,MEDIA PLANNING,Buckley  Maria A.,MW      1400 1515 301HGH 305 (Class),Main,,3,24,0,0,0,24,29
22345,ADV,04434,  1,Full Term ... `17-JAN to 08-MAY,Evening,ADVERTISING CAMPAIGNS-WI,Rodolico  Louis Francis,M       1700 1815 WESTBY 111 (Class)`M       1830 1945 WESTBY 111 (Class),Main,,3,20,0,0,0,20,110
22346,ADV,04434,  2,Full Term ... `17-JAN to 08-MAY,Evening,ADVERTISING CAMPAIGNS-WI,Audio  Regina M,M       1700 1815 WESTBY 111 (Class)`M       1830 1945 WESTBY 111 (Class),Main,,3,20,0,0,0,20,110
22347,ADV,04434,  3,Full Term ... `17-JAN to 08-MAY,Evening,ADVERTISING CAMPAIGNS-WI,Pattwell  Ashley Blake,M       1700 1815 BOZ 114 (Class)`M       1830 1945 BOZ 114 (Class),Main,,3,20,0,0,0,20,38
23440,AFST,11104,  1,Full Term ... `17-JAN to 08-MAY,Day,INTRO TO AFRICANA STUDIES,STAFF,TR      1100 1215 BUNCE 105 (Class),Main,,3,25,0,0,0,25,30
23442,AFST,11104,  2,Full Term ... `17-JAN to 08-MAY,Day,INTRO TO AFRICANA STUDIES,STAFF,MW      1100 1215 BUNCE 105 (Class),Main,,3,25,0,0,0,25,30
23443,AFST,11304,  1,Full Term ... `17-JAN to 08-MAY,Evening,AFRICANA SOCIAL THOUGHT,STAFF,W       1700 1815 BUNCE 105 (Class)`W       1830 1945 BUNCE 105 (Class),Main,,3,25,0,0,0,25,30
24251,AFST,11310,  1,Full Term ... `17-JAN to 08-MAY,Day,SRVC LRNG SEM IN AFRICANA STD,Guiteau  Gardy Joseph,F       1400 1515 ROBSON 204 (Class)`F       1530 1645 ROBSON 204 (Class),Main,,3,0,0,0,0,0,24
23444,AFST,11450,  1,Full Term ... `17-JAN to 08-MAY,Day,SENIOR SEM IN AFRICANA STUDIES,STAFF,F       1100 1215 ROBSON 216A (Class)`F       1230 1345 ROBSON 216A (Class),Main,,3,20,0,0,0,20,20
23349,AHI,05501, 1C,CGCE Second Session ... `03-JAN to 10-APR,Online,INTEGRTD INFO TECH HEALTH CARE ONLINE. AFTER REGISTRATION  VISIT ROWANONLINE.COM/PORTAL TO GET STARTED. REGISTRATION QUESTIONS? CONTACT NURSING@ROWAN.EDU. FOR MSN PROGRAM STUDENTS.`,Mobley  Aleesa M,   ,Online,,3,30,0,0,0,30,
23438,AMST,13101,  1,Full Term ... `17-JAN to 08-MAY,Day,INTRO TO AMERICAN STUDIES,Turner  Katherine Leonard,MW      1230 1345 BUNCE 105 (Class),Main,,3,30,0,0,0,30,30
23439,AMST,13101,  2,Full Term ... `17-JAN to 08-MAY,Day,INTRO TO AMERICAN STUDIES,Gennari  Elizabeth V,TR      0930 1045 BUNCE 105 (Class),Main,,3,30,0,0,0,30,30
23446,AMST,13101,  3,Full Term ... `17-JAN to 08-MAY,Evening,INTRO TO AMERICAN STUDIES,STAFF,M       1830 1945 BUNCE 105 (Class)`M       2000 2115 BUNCE 105 (Class),Main,,3,30,0,0,0,30,30
23447,AMST,13101,  4,Full Term ... `17-JAN to 08-MAY,Evening,INTRO TO AMERICAN STUDIES,STAFF,T       1830 1945 BUNCE 105 (Class)`T       2000 2115 BUNCE 105 (Class),Main,,3,30,0,0,0,30,30
23434,AMST,13301,  1,Full Term ... `17-JAN to 08-MAY,Day,INTERDIS RESEARCH AND WRITING,Blanck  Emily Vanessa,F       0930 1045 BUNCE 105 (Class)`F       1100 1215 BUNCE 105 (Class),Main,,3,15,0,0,0,15,30
23436,AMST,13301,  2,Full Term ... `17-JAN to 08-MAY,Evening,INTERDIS RESEARCH AND WRITING,Plourde  Bruce A,T       1700 1815 ROBSON 202 (Class)`T       1830 1945 ROBSON 202 (Class),Main,,3,15,0,0,0,15,24
23437,AMST,13301,  3,Full Term ... `17-JAN to 08-MAY,Day,INTERDIS RESEARCH AND WRITING,Leach  Kirk,F       0930 1045 ROBSON 202 (Class)`F       1100 1215 ROBSON 202 (Class),Main,,3,15,0,0,0,15,24
23441,AMST,13402,  1,Full Term ... `17-JAN to 08-MAY,Day,SENIOR SEM AMER ST-WI,Turner  Katherine Leonard,M       1530 1645 BUNCE 105 (Class)`M       1700 1815 BUNCE 105 (Class),Main,,3,15,0,0,0,15,30
23445,AMST,13402,  2,Full Term ... `17-JAN to 08-MAY,Evening,SENIOR SEM AMER ST-WI,Harris  Skylar M,R       1830 1945 BUNCE 105 (Class)`R       2000 2115 BUNCE 105 (Class),Main,,3,15,0,0,0,15,30
23435,AMST,13402,  3,Full Term ... `17-JAN to 08-MAY,Day,SENIOR SEM AMER ST-WI,STAFF,TR      1100 1215 ROBSON 308 (Class),Main,,3,15,0,0,0,15,30
23588,ANTH,02202,  1,Full Term ... `17-JAN to 08-MAY,Day,CULTURAL ANTHROPOLOGY,Kasserman  David,TR      0800 0915 LBRARY 226 (Class),Main,,3,35,0,0,0,35,44
23589,ANTH,02202,  2,Full Term ... `17-JAN to 08-MAY,Day,CULTURAL ANTHROPOLOGY,Kasserman  David,MW      0800 0915 ROBSON 308 (Class),Main,,3,30,0,0,0,30,30
23590,ANTH,02202,  3,Full Term ... `17-JAN to 08-MAY,Day,CULTURAL ANTHROPOLOGY,Kasserman  David,MW      0930 1045 LBRARY 226 (Class),Main,,3,35,0,0,0,35,44
23591,ANTH,02202,  4,Full Term ... `17-JAN to 08-MAY,Day,CULTURAL ANTHROPOLOGY,Kasserman  David,TR      0930 1045 ROBSON 308 (Class),Main,,3,30,0,0,0,30,30
23516,ANTH,02202,  5,Full Term ... `17-JAN to 08-MAY,Evening,CULTURAL ANTHROPOLOGY,Kasserman  David,W       2000 2115 RUCAB 311 (Class)`W       2130 2245 RUCAB 311 (Class),Camden,,3,30,0,0,0,30,31
23592,ANTH,02202,  6,Full Term ... `17-JAN to 08-MAY,Evening,CULTURAL ANTHROPOLOGY,Gabriel  Jay F,M       1830 1945 ROBSON 205 (Class)`M       2000 2115 ROBSON 205 (Class),Main,,3,24,0,0,0,24,26
23593,ANTH,02202,  7,Full Term ... `17-JAN to 08-MAY,Evening,CULTURAL ANTHROPOLOGY,Farrell  Gianna Louise,W       1830 1945 ROBSON 205 (Class)`W       2000 2115 ROBSON 205 (Class),Main,,3,24,0,0,0,24,26
23594,ANTH,02202,  8,Full Term ... `17-JAN to 08-MAY,Evening,CULTURAL ANTHROPOLOGY,Gabriel  Jay F,T       1830 1945 ROBSON 205 (Class)`T       2000 2115 ROBSON 205 (Class),Main,,3,24,0,0,0,24,26
23595,ANTH,02202,  9,Full Term ... `17-JAN to 08-MAY,Evening,CULTURAL ANTHROPOLOGY,Farrell  Gianna Louise,R       1830 1945 ROBSON 205 (Class)`R       2000 2115 ROBSON 205 (Class),Main,,3,24,0,0,0,24,26
23596,ANTH,02202, 10,Full Term ... `17-JAN to 08-MAY,Day,CULTURAL ANTHROPOLOGY,STAFF,F       0930 1045 LBRARY 226 (Class)`F       1100 1215 LBRARY 226 (Class),Main,,3,35,0,0,0,35,44
23512,ANTH,02202, 11,Full Term ... `17-JAN to 08-MAY,Online,CULTURAL ANTHROPOLOGY ONLINE. AFTER REGISTRATION  VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Nickolai  Carol A,   ,Online,,3,35,0,0,0,35,
23513,ANTH,02202, 12,Full Term ... `17-JAN to 08-MAY,Online,CULTURAL ANTHROPOLOGY ONLINE. AFTER REGISTRATION  VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Nickolai  Carol A,   ,Online,,3,35,0,0,0,35,
23597,ANTH,02203,  1,Full Term ... `17-JAN to 08-MAY,Evening,INTRO ARCHEOLOGY,Hill  Jane A,MW      1700 1815 ROBSON 205 (Class),Main,,3,24,0,0,0,24,26
23598,ANTH,02203,  2,Full Term ... `17-JAN to 08-MAY,Evening,INTRO ARCHEOLOGY,Hill  Jane A,TR      1700 1815 ROBSON 205 (Class),Main,,3,24,0,0,0,24,26
23599,ANTH,02210,  1,Full Term ... `17-JAN to 08-MAY,Day,NATIVES SOUTH AMERICA,Rosado  Maria,MW      0930 1045 ROBSON 205 (Class),Main,,3,24,0,0,0,24,26
23522,ANTH,02221,  1,Full Term ... `17-JAN to 08-MAY,Day,HUMAN VARIATION-RS,Rosado  Maria,TR      0930 1045 ROBSON 205 (Class),Main,,3,0,0,0,1,-1,26
23600,ANTH,02221,  2,Full Term ... `17-JAN to 08-MAY,Day,HUMAN VARIATION,STAFF,TR      1230 1345 ROBSON 308 (Class),Main,,3,30,0,0,0,30,30
23514,ANTH,02221,  3,Full Term ... `17-JAN to 08-MAY,Online,HUMAN VARIATION ONLINE. AFTER REGISTRATION  VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Hill  Jane A,   ,Online,,3,25,0,0,0,25,
24217,ANTH,02250,  1,Full Term ... `17-JAN to 08-MAY,Day,INTRO ANTHRO LINGUISTICS,Manley  Marilyn Suzanne,TR      1230 1345 BUNCE 321 (Class),Main,,3,15,0,0,0,15,24
23601,ANTH,02280,  1,Full Term ... `17-JAN to 08-MAY,Day,OLD WORLD ARCHEOLOGY,Hill  Jane A,TR      1400 1515 ROBSON 205 (Class),Main,,3,24,0,0,0,24,26
23523,ANTH,02310,  1,Full Term ... `17-JAN to 08-MAY,Evening,INDIANS NORTH AMERICA,Schultz  Jared Stephen,MW      1700 1815 LBRARY 578 (Class),Main,,3,24,0,0,0,24,32
23575,ANTH,02312,  1,Full Term ... `17-JAN to 08-MAY,Day,ANTH PERS PHY GROWTH,Schug  Seran E,TR      1530 1645 ROBSON 205 (Class),Main,,3,24,0,0,0,24,26
23578,ANTH,02321,  1,Full Term ... `17-JAN to 08-MAY,Day,CULTURAL ECOLOGY,Schultz  Jared Stephen,MW      1400 1515 LBRARY 401 (Class),Main,,3,22,0,0,0,22,22
23579,ANTH,02322,  1,Full Term ... `17-JAN to 08-MAY,Day,SEX AND SEX ROLES,Cushman  Robert Dustin,MW      1530 1645 ROBSON 205 (Class),Main,,3,24,0,0,0,24,26
23580,ANTH,02323,  1,Full Term ... `17-JAN to 08-MAY,Day,ANTHRO-MAGIC & RELIGION,Cushman  Robert Dustin,MW      1100 1215 ROBSON 308 (Class),Main,,3,30,0,0,0,30,30
23581,ANTH,02350,  1,Full Term ... `17-JAN to 08-MAY,Day,COMPARATIVE CULTURES,Schug  Seran E,TR      1100 1215 ROBSON 205 (Class),Main,,3,24,0,0,0,24,26
24222,ANTH,02492,  1,Full Term ... `17-JAN to 08-MAY,Day,SEM ANTH:FOOD AND CULTURE,Hill  Jane A,MW      1230 1345 ROBSON 205 (Class),Main,,3,25,0,0,0,25,26
